epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4887.01,1.65798,2.07568,1.9994,0.577,0.59135,0.60169,0.28552,1.75672,1.75035,2.24995,0.0095941,0.0095941,0.0095941
43,5002.57,1.65567,2.10327,1.98999,0.5482,0.57881,0.57574,0.26622,1.76931,1.75036,2.23881,0.0095842,0.0095842,0.0095842
44,5118.22,1.6353,2.00614,1.96374,0.60624,0.5925,0.62917,0.3061,1.74837,1.66257,2.21381,0.0095743,0.0095743,0.0095743
45,5233.9,1.62088,2.00275,1.95015,0.61024,0.59541,0.63854,0.31759,1.70325,1.63121,2.14932,0.0095644,0.0095644,0.0095644
46,5349.56,1.62632,1.98905,1.96265,0.61533,0.60075,0.62051,0.30511,1.70633,1.64193,2.226,0.0095545,0.0095545,0.0095545
47,5465.69,1.63149,1.95656,1.96602,0.62203,0.61053,0.64906,0.32014,1.72309,1.59908,2.19632,0.0095446,0.0095446,0.0095446
48,5581.35,1.58141,1.92143,1.92009,0.62649,0.63061,0.67317,0.34661,1.65604,1.54687,2.16059,0.0095347,0.0095347,0.0095347
49,5697.05,1.59413,1.92439,1.93537,0.62204,0.6387,0.66461,0.33946,1.65631,1.57474,2.15588,0.0095248,0.0095248,0.0095248
50,5812.75,1.60068,1.92069,1.93493,0.64356,0.62454,0.66809,0.34726,1.6122,1.56132,2.13888,0.0095149,0.0095149,0.0095149
51,5928.95,1.60234,1.91512,1.9427,0.65967,0.64538,0.69156,0.34926,1.6436,1.50614,2.1144,0.009505,0.009505,0.009505
52,6044.43,1.60046,1.91937,1.93985,0.67878,0.63002,0.68922,0.34171,1.65599,1.49928,2.1509,0.0094951,0.0094951,0.0094951
53,6159.89,1.55849,1.85127,1.90822,0.65883,0.64696,0.69717,0.35991,1.65061,1.46112,2.11791,0.0094852,0.0094852,0.0094852
54,6275.97,1.60517,1.87683,1.95637,0.64478,0.6656,0.70864,0.36983,1.60991,1.44778,2.13879,0.0094753,0.0094753,0.0094753
55,6391.77,1.58849,1.82726,1.92358,0.70035,0.65722,0.72512,0.3835,1.61483,1.3923,2.09252,0.0094654,0.0094654,0.0094654
56,6507.63,1.56636,1.85146,1.91777,0.68379,0.68478,0.73991,0.39368,1.58959,1.37457,2.06066,0.0094555,0.0094555,0.0094555
57,6623.58,1.53846,1.80814,1.87356,0.67003,0.6707,0.72018,0.38467,1.58889,1.39795,2.06807,0.0094456,0.0094456,0.0094456
58,6739.42,1.56439,1.76941,1.90353,0.69396,0.69112,0.74889,0.40383,1.5846,1.35699,2.06672,0.0094357,0.0094357,0.0094357
59,6855.42,1.53688,1.74686,1.87521,0.70645,0.68405,0.74622,0.39862,1.56495,1.39394,2.06649,0.0094258,0.0094258,0.0094258
60,6971.1,1.51374,1.72074,1.86846,0.73936,0.70248,0.77018,0.42906,1.52235,1.30446,1.99846,0.0094159,0.0094159,0.0094159
61,7087.15,1.52125,1.71695,1.86524,0.74702,0.68855,0.77842,0.43076,1.52147,1.28067,2.02422,0.009406,0.009406,0.009406
62,7203.24,1.5253,1.70819,1.86511,0.70659,0.69487,0.75654,0.41472,1.55943,1.32003,2.04975,0.0093961,0.0093961,0.0093961
63,7318.93,1.51506,1.70047,1.85856,0.7315,0.7156,0.78474,0.43914,1.49227,1.25137,1.95997,0.0093862,0.0093862,0.0093862
64,7434.82,1.5279,1.67593,1.86447,0.7314,0.72495,0.79829,0.45324,1.48448,1.20589,1.96187,0.0093763,0.0093763,0.0093763
65,7550.87,1.47445,1.64725,1.82309,0.74422,0.7092,0.78533,0.43831,1.5067,1.22422,1.97945,0.0093664,0.0093664,0.0093664
66,7666.62,1.5115,1.70075,1.84565,0.74971,0.72673,0.79472,0.44677,1.48003,1.23313,1.9682,0.0093565,0.0093565,0.0093565
67,7782.38,1.48583,1.6352,1.8393,0.76758,0.71455,0.80232,0.46753,1.43497,1.16758,1.94893,0.0093466,0.0093466,0.0093466
68,7898.2,1.4979,1.65299,1.84464,0.77481,0.72739,0.81421,0.4707,1.44527,1.16651,1.93758,0.0093367,0.0093367,0.0093367
69,8014.39,1.4863,1.61819,1.83464,0.76715,0.73386,0.81451,0.46895,1.46799,1.13585,1.93812,0.0093268,0.0093268,0.0093268
70,8129.97,1.48381,1.60907,1.81883,0.80165,0.76456,0.85003,0.50846,1.40071,1.07304,1.90675,0.0093169,0.0093169,0.0093169
71,8245.73,1.47459,1.59688,1.82689,0.77585,0.76687,0.84073,0.50075,1.40262,1.06937,1.88687,0.009307,0.009307,0.009307
72,8361.52,1.46955,1.54318,1.80275,0.78083,0.75117,0.83219,0.49017,1.42242,1.10183,1.91937,0.0092971,0.0092971,0.0092971
73,8477.1,1.4827,1.57683,1.83433,0.80143,0.76026,0.84932,0.50925,1.37533,1.05506,1.87688,0.0092872,0.0092872,0.0092872
74,8592.89,1.43673,1.56839,1.80657,0.79645,0.76882,0.84584,0.52891,1.35049,0.99665,1.84796,0.0092773,0.0092773,0.0092773
75,8708.76,1.43008,1.53116,1.79915,0.80879,0.79598,0.86444,0.52894,1.34415,1.00856,1.84155,0.0092674,0.0092674,0.0092674
